frame,filename,utc_iso,hour_utc,age_days,phase_percent
575,moon_f0575_age000.01_h22.jpg,2020-01-24T22:00:00+00:00,22,0.012,0.04
577,moon_f0577_age000.10_h00.jpg,2020-01-25T00:00:00+00:00,00,0.096,0.05
579,moon_f0579_age000.18_h02.jpg,2020-01-25T02:00:00+00:00,02,0.179,0.08
581,moon_f0581_age000.26_h04.jpg,2020-01-25T04:00:00+00:00,04,0.262,0.12
583,moon_f0583_age000.35_h06.jpg,2020-01-25T06:00:00+00:00,06,0.346,0.17
585,moon_f0585_age000.43_h08.jpg,2020-01-25T08:00:00+00:00,08,0.429,0.24
587,moon_f0587_age000.51_h10.jpg,2020-01-25T10:00:00+00:00,10,0.512,0.32
589,moon_f0589_age000.60_h12.jpg,2020-01-25T12:00:00+00:00,12,0.596,0.42
591,moon_f0591_age000.68_h14.jpg,2020-01-25T14:00:00+00:00,14,0.679,0.53
593,moon_f0593_age000.76_h16.jpg,2020-01-25T16:00:00+00:00,16,0.762,0.65
595,moon_f0595_age000.85_h18.jpg,2020-01-25T18:00:00+00:00,18,0.846,0.78
597,moon_f0597_age000.93_h20.jpg,2020-01-25T20:00:00+00:00,20,0.929,0.93
599,moon_f0599_age001.01_h22.jpg,2020-01-25T22:00:00+00:00,22,1.012,1.09
601,moon_f0601_age001.10_h00.jpg,2020-01-26T00:00:00+00:00,00,1.096,1.27
603,moon_f0603_age001.18_h02.jpg,2020-01-26T02:00:00+00:00,02,1.179,1.45
605,moon_f0605_age001.26_h04.jpg,2020-01-26T04:00:00+00:00,04,1.262,1.65
607,moon_f0607_age001.35_h06.jpg,2020-01-26T06:00:00+00:00,06,1.346,1.87
609,moon_f0609_age001.43_h08.jpg,2020-01-26T08:00:00+00:00,08,1.429,2.09
611,moon_f0611_age001.51_h10.jpg,2020-01-26T10:00:00+00:00,10,1.512,2.33
613,moon_f0613_age001.60_h12.jpg,2020-01-26T12:00:00+00:00,12,1.596,2.58
615,moon_f0615_age001.68_h14.jpg,2020-01-26T14:00:00+00:00,14,1.679,2.84
617,moon_f0617_age001.76_h16.jpg,2020-01-26T16:00:00+00:00,16,1.762,3.12
619,moon_f0619_age001.85_h18.jpg,2020-01-26T18:00:00+00:00,18,1.846,3.41
621,moon_f0621_age001.93_h20.jpg,2020-01-26T20:00:00+00:00,20,1.929,3.71
623,moon_f0623_age002.01_h22.jpg,2020-01-26T22:00:00+00:00,22,2.012,4.02
625,moon_f0625_age002.10_h00.jpg,2020-01-27T00:00:00+00:00,00,2.096,4.34
627,moon_f0627_age002.18_h02.jpg,2020-01-27T02:00:00+00:00,02,2.179,4.67
